date,product_id,price,is_promo,is_stockout,units_sold,revenue,margin,competitor_price,product_name,category,brand,base_cost,base_price,dow,is_weekend,week,month,year,lag1_units,lag7_units,roll7_units_mean,roll14_units_mean,ok_for_elasticity
2024-12-01,1,933.59,0,0,18,16804.62,6129.18,921.01,Prod 1,Beauty,Kairo,593.08,935.77,6,1,48,12,2024,,,18.0,18.0,1
2024-12-02,1,931.85,0,0,18,16773.3,6097.86,920.41,Prod 1,Beauty,Kairo,593.08,935.77,0,0,49,12,2024,18.0,,18.0,18.0,1
2024-12-03,1,928.66,1,0,29,26931.14,9731.82,922.0,Prod 1,Beauty,Kairo,593.08,935.77,1,0,49,12,2024,18.0,,21.666666666666668,21.666666666666668,1
2024-12-04,1,926.11,0,0,18,16669.98,5994.54,921.06,Prod 1,Beauty,Kairo,593.08,935.77,2,0,49,12,2024,29.0,,20.75,20.75,1
2024-12-05,1,924.71,0,0,21,19418.91,6964.23,919.82,Prod 1,Beauty,Kairo,593.08,935.77,3,0,49,12,2024,18.0,,20.8,20.8,1
2024-12-06,1,925.27,0,0,16,14804.32,5315.04,921.7,Prod 1,Beauty,Kairo,593.08,935.77,4,0,49,12,2024,21.0,,20.0,20.0,1
2024-12-07,1,924.43,0,0,24,22186.32,7952.4,920.27,Prod 1,Beauty,Kairo,593.08,935.77,5,1,49,12,2024,16.0,,20.571428571428573,20.571428571428573,1
2024-12-08,1,924.15,0,0,15,13862.25,4966.05,922.89,Prod 1,Beauty,Kairo,593.08,935.77,6,1,49,12,2024,24.0,18.0,20.142857142857142,19.875,1
2024-12-09,1,924.79,0,0,20,18495.8,6634.2,924.55,Prod 1,Beauty,Kairo,593.08,935.77,0,0,50,12,2024,15.0,18.0,20.428571428571427,19.88888888888889,1
2024-12-10,1,926.07,0,0,24,22225.68,7991.76,925.71,Prod 1,Beauty,Kairo,593.08,935.77,1,0,50,12,2024,20.0,29.0,19.714285714285715,20.3,1
2024-12-11,1,925.47,0,0,17,15732.99,5650.63,922.51,Prod 1,Beauty,Kairo,593.08,935.77,2,0,50,12,2024,24.0,18.0,19.571428571428573,20.0,1
2024-12-12,1,925.7,0,0,27,24993.9,8980.74,922.79,Prod 1,Beauty,Kairo,593.08,935.77,3,0,50,12,2024,17.0,21.0,20.428571428571427,20.583333333333332,1
2024-12-13,1,927.11,0,0,15,13906.65,5010.45,924.39,Prod 1,Beauty,Kairo,593.08,935.77,4,0,50,12,2024,27.0,16.0,20.285714285714285,20.153846153846153,1
2024-12-14,1,924.6,0,0,23,21265.8,7624.96,920.77,Prod 1,Beauty,Kairo,593.08,935.77,5,1,50,12,2024,15.0,24.0,20.142857142857142,20.357142857142858,1
2024-12-15,1,926.93,0,0,20,18538.6,6677.0,921.96,Prod 1,Beauty,Kairo,593.08,935.77,6,1,50,12,2024,23.0,15.0,20.857142857142858,20.5,1
2024-12-16,1,924.15,0,0,24,22179.6,7945.68,922.07,Prod 1,Beauty,Kairo,593.08,935.77,0,0,51,12,2024,20.0,20.0,21.428571428571427,20.928571428571427,1
2024-12-17,1,924.74,0,0,17,15720.58,5638.22,927.28,Prod 1,Beauty,Kairo,593.08,935.77,1,0,51,12,2024,24.0,24.0,20.428571428571427,20.071428571428573,1
2024-12-18,1,925.89,0,0,9,8333.01,2995.29,927.63,Prod 1,Beauty,Kairo,593.08,935.77,2,0,51,12,2024,17.0,17.0,19.285714285714285,19.428571428571427,1
2024-12-19,1,925.25,0,0,31,28682.75,10297.27,926.49,Prod 1,Beauty,Kairo,593.08,935.77,3,0,51,12,2024,9.0,27.0,19.857142857142858,20.142857142857142,1
2024-12-20,1,925.97,0,0,15,13889.55,4993.35,925.87,Prod 1,Beauty,Kairo,593.08,935.77,4,0,51,12,2024,31.0,15.0,19.857142857142858,20.071428571428573,1
