date,product_id,price,is_promo,is_stockout,units_sold,revenue,margin
2024-12-01,1,933.59,0,0,18,16804.58,6129.14
2024-12-02,1,931.85,0,0,18,16773.37,6097.93
2024-12-03,1,928.66,1,0,29,26931.05,9731.73
2024-12-04,1,926.11,0,0,18,16670.0,5994.56
2024-12-05,1,924.71,0,0,21,19419.01,6964.33
2024-12-06,1,925.27,0,0,16,14804.3,5315.02
2024-12-07,1,924.43,0,0,24,22186.24,7952.32
2024-12-08,1,924.15,0,0,15,13862.19,4965.99
2024-12-09,1,924.79,0,0,20,18495.88,6634.28
2024-12-10,1,926.07,0,0,24,22225.7,7991.78
2024-12-11,1,925.47,0,0,17,15732.98,5650.62
2024-12-12,1,925.7,0,0,27,24993.83,8980.67
2024-12-13,1,927.11,0,0,15,13906.65,5010.45
2024-12-14,1,924.6,0,0,23,21265.73,7624.89
2024-12-15,1,926.93,0,0,20,18538.67,6677.07
2024-12-16,1,924.15,0,0,24,22179.56,7945.64
2024-12-17,1,924.74,0,0,17,15720.66,5638.3
2024-12-18,1,925.89,0,0,9,8333.01,2995.29
2024-12-19,1,925.25,0,0,31,28682.73,10297.25
2024-12-20,1,925.97,0,0,15,13889.51,4993.31
2024-12-21,1,927.78,0,0,13,12061.14,4351.1
2024-12-22,1,925.92,0,0,20,18518.42,6656.82
2024-12-23,1,924.77,0,0,20,18495.46,6633.86
2024-12-24,1,924.0,0,0,27,24947.92,8934.76
2024-12-25,1,923.81,0,0,19,17552.46,6283.94
2024-12-26,1,923.49,0,0,21,19393.32,6938.64
2024-12-27,1,924.65,0,0,23,21267.04,7626.2
2024-12-28,1,924.54,0,0,13,12019.0,4308.96
2024-12-29,1,926.38,0,0,16,14822.03,5332.75
2024-12-30,1,927.34,0,0,23,21328.82,7687.98
2024-12-31,1,930.08,0,0,26,24182.13,8762.05
2025-01-01,1,930.38,0,0,16,14886.11,5396.83
2025-01-02,1,930.91,0,0,22,20480.06,7432.3
2025-01-03,1,932.15,0,0,18,16778.78,6103.34
2025-01-04,1,934.33,0,0,23,21489.59,7848.75
2025-01-05,1,936.73,0,0,22,20608.13,7560.37
2025-01-06,1,936.22,0,0,23,21533.01,7892.17
2025-01-07,1,935.75,0,0,21,19650.73,7196.05
2025-01-08,1,937.23,0,0,25,23430.74,8603.74
2025-01-09,1,937.59,0,0,17,15939.1,5856.74
2025-01-10,1,938.98,0,0,18,16901.59,6226.15
2025-01-11,1,937.98,0,0,17,15945.69,5863.33
2025-01-12,1,937.76,0,0,25,23444.09,8617.09
2025-01-13,1,938.68,0,0,17,15957.58,5875.22
2025-01-14,1,939.77,1,0,33,31012.42,11440.78
2025-01-15,1,939.75,0,0,21,19734.68,7280.0
2025-01-16,1,940.5,0,0,16,15048.04,5558.76
2025-01-17,1,939.69,0,0,21,19733.53,7278.85
2025-01-18,1,939.94,0,0,12,11279.32,4162.36
2025-01-19,1,940.33,0,0,22,20687.26,7639.5
2025-01-20,1,940.86,0,0,21,19758.05,7303.37
2025-01-21,1,940.8,1,0,33,31046.35,11474.71
2025-01-22,1,941.7,0,0,15,14125.5,5229.3
2025-01-23,1,941.95,0,0,22,20722.98,7675.22
2025-01-24,1,941.4,0,0,18,16945.16,6269.72
2025-01-25,1,943.23,0,0,23,21694.29,8053.45
2025-01-26,1,943.29,0,0,20,18865.8,7004.2
2025-01-27,1,943.78,0,0,14,13212.92,4909.8
2025-01-28,1,944.91,0,0,20,18898.26,7036.66
